INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,Count,id,Point,geometry
 Mystic Ridge Gate and 85 Street SW ,Traffic incident.,2022/12/05 09:01:51 AM,2022/12/05 09:30:01 AM,SW,-114.2109420882447,51.03055562208206,1,2022-12-05T09:01:5151.03055562208206-114.2109420882447,POINT (-114.2109420882447 51.03055562208206),POINT (274862.06378117396 5658129.8765333025)
16 Avenue and Russet Road NE,Two vehicle incident. Blocking the EB right lanes,2020/09/10 08:07:00 AM,,,-114.0424585,51.06690836,1,2020-09-10T08:07:3451.06690836040478-114.04245847549873,POINT (-114.0424585 51.06690836),POINT (286840.1000601044 5661669.661755955)
130 Avenue and 50 Street SE,Two vehicle incident.,2018/01/31 08:14:00 PM,2018/01/31 09:20:00 PM,SE,-113.9625465,50.93199047,1,2018-01-31T20:14:4250.931990471284-113.962546458577,POINT (-113.9625465 50.93199047),POINT (291834.5588406145 5646442.053537513)
 Memorial Drive at Deerfoot Trail SE ,Multi-vehicle incident. Blocking multi lanes,2024/01/27 12:54:38 PM,2024/01/27 12:59:31 PM,SE,-114.01828250628714,51.04787784414207,1,2024-01-27T12:54:3851.04787784414207-114.01828250628714,POINT (-114.01828250628714 51.04787784414207),POINT (288446.81680570374 5659484.252408713)
Northbound Deerfoot Trail approaching 16 Avenue NE,Single vehicle incident. Blocking the left lane.,2019/02/08 08:21:00 AM,2019/02/08 09:55:00 AM,NE,-114.0285513,51.06737987,1,2019020808212651.0673798693422-114.028551292521,POINT (-114.0285513 51.06737987),POINT (287816.4288169787 5661681.895644405)
 Bowfort Road and Trans Canada Hi W ,Traffic incident.,2022/10/29 10:33:10 PM,2022/10/29 11:46:19 PM,NW,-114.20979236683672,51.08366108476182,1,2022-10-29T22:33:1051.08366108476182-114.20979236683672,POINT (-114.20979236683672 51.08366108476182),POINT (275200.16343568783 5664030.005126405)
Southbound 24 Street and Glenmore Trail SE,Two vehicle incident.,2018/06/07 05:48:00 PM,2018/06/07 06:24:00 PM,SE,-113.9989691,50.97919303,1,2018060717484650.9791930256566-113.99896912717,POINT (-113.9989691 50.97919303),POINT (289489.29501056054 5651793.081144179)
Southbound Deerfoot Trail at Southland Drive SE,Traffic incident.,2021/12/16 05:42:00 PM,2021/12/16 06:39:00 PM,SE,-114.0336202,50.96740421,1,2021-12-16T17:42:3150.96740421464508-114.0336202427788,POINT (-114.0336202 50.96740421),POINT (287003.4944036466 5650582.060943161)
Eastbound Glenmore Trail approaching 14 Street SW,Multi-vehicle incident.  Blocking the left lanes.,2019/02/06 10:14:00 AM,2019/02/06 10:42:00 AM,SW,-114.0999985,50.99548753,1,2019020610142250.9954875294328-114.099998491822,POINT (-114.0999985 50.99548753),POINT (282475.2393158641 5653898.000996857)
Northbound Deerfoot Trail after 17 Avenue SE,Multi-vehicle incident. One lane is now open on NB Deerfoot,2020/03/14 12:33:00 PM,,,-114.0056206,51.03806397,1,2020-03-14T12:33:2551.03806396554767-114.0056205896054,POINT (-114.0056206 51.03806397),POINT (289289.5796569787 5658356.910716463)
 Westbound 32 Avenue at Barlow Trail NE ,Two vehicle incident.  Blocking the right lanes,2023/10/21 11:06:42 AM,2023/10/21 11:11:36 AM,NE,-114.00271752069074,51.0815501717678,1,2023-10-21T11:06:4251.081550171767795-114.00271752069074,POINT (-114.00271752069074 51.081550171767795),POINT (289690.30953243375 5663183.094678904)
Southbound Deerfoot Trail and 64 Avenue NE,Two vehicle incident.  Blocking the left lane,2021/01/27 07:27:00 AM,,,-114.0470585,51.11645159,1,2021-01-27T07:27:2551.116451587915265-114.04705847328103,POINT (-114.0470585 51.11645159),POINT (286746.0269134834 5667190.833413752)
Southbound Chaparral Boulevard and Stoney Trail SE,Traffic incident. Blocking the left lane,2022/04/27 11:47:00 AM,2022/04/27 11:51:00 AM,SE,-114.0251048,50.89417572,1,2022-04-27T11:47:3950.89417572066922-114.02510483143486,POINT (-114.0251048 50.89417572),POINT (287267.24425500666 5642416.628922548)
 Northbound Deerfoot Trail and 24 Street SE ,Traffic incident. Blocking the right lane,2022/09/08 04:51:20 PM,2022/09/08 05:40:08 PM,SE,-113.99863368057092,50.94800846090709,1,2022-09-08T16:51:2050.94800846090709-113.99863368057093,POINT (-113.99863368057093 50.94800846090709),POINT (289371.7725810744 5648325.2828476215)
Northbound Nose Hill Drive and Crowfoot Wy NW,Multi-vehicle incident. Blocking multiple lanes,2020/01/12 03:28:00 PM,,,-114.1985463,51.12407123,1,2020-01-12T15:28:5151.12407123470771-114.19854631219042,POINT (-114.1985463 51.12407123),POINT (276183.0035211202 5668488.067624201)
 Northmount Drive and Brisebois Drive NW ,Traffic incident.,2024/01/12 12:46:02 PM,2024/01/12 01:26:02 PM,NW,-114.12885293329632,51.0930934033066,1,2024-01-12T12:46:0251.0930934033066-114.12885293329633,POINT (-114.12885293329633 51.0930934033066),POINT (280912.20646601694 5664834.431804256)
Southland Drive and 14 Street SW,Traffic signals are flashing red. Crew has been dispatched,2021/02/16 02:49:00 AM,,,-114.095125,50.96149032,1,2021-02-16T02:49:3750.9614903227875-114.09512498232628,POINT (-114.095125 50.96149032),POINT (282658.3660182522 5650104.160126117)
Northbound Deerfoot Trail at Barlow Trail  SE,Two vehicle incident.,2019/01/18 10:37:00 AM,2019/01/18 10:38:00 AM,SE,-114.0034269,51.01495911,1,2019011810373651.0149591059977-114.003426914089,POINT (-114.0034269 51.01495911),POINT (289338.565126564 5655782.011971639)
 Westbound Glenmore Trail and 52 Street SE ,Single vehicle incident. Blocking the left lane,2024/02/14 07:21:25 AM,2024/02/14 08:18:39 AM,SE,-113.9547315842986,50.979643100115865,1,2024-02-14T07:21:2550.979643100115865-113.9547315842986,POINT (-113.9547315842986 50.979643100115865),POINT (292595.9512880107 5651717.683033799)
 Eastbound Memorial Drive ramp onto Southbound Deerfoot Trail SE ,Traffic incident.  Ramp partially blocked,2023/03/26 09:04:45 AM,2023/03/26 09:33:31 AM,SE,-114.01774902561718,51.047250623098485,1,2023-03-26T09:04:4551.047250623098485-114.01774902561718,POINT (-114.01774902561718 51.047250623098485),POINT (288481.34279047843 5659412.98990469)
16 Avenue and 36 Street NE,Two vehicle incident.,2019/09/29 07:59:00 AM,,,-113.9839047,51.06659115,1,2019-09-29T07:59:3151.066591154001436-113.98390472555629,POINT (-113.9839047 51.06659115),POINT (290940.26385924354 5661466.450295653)
 Falconridge Drive and Falconridge Boulevard NE ,Multi-vehicle incident.,2023/02/02 11:45:13 AM,2023/02/02 01:56:31 PM,NE,-113.95825694940714,51.09983293871039,1,2023-02-02T11:45:1351.099832938710385-113.95825694940714,POINT (-113.95825694940714 51.099832938710385),POINT (292885.46594146383 5665089.544098085)
Bonaventure Drive and 94 Avenue SE,Traffic incident.,2020/10/31 11:38:00 AM,,,-114.0687682,50.96863426,1,2020-10-31T11:38:2150.96863426475751-114.06876821926379,POINT (-114.0687682 50.96863426),POINT (284541.8630968913 5650820.967622513)
16 Avenue and Bowness Road NW,Traffic incident.,2021/10/13 12:39:00 PM,,,-114.151561,51.06604632,1,2021-10-13T12:39:3551.06604632398291-114.15156095027007,POINT (-114.151561 51.06604632),POINT (279193.67742846755 5661895.478242335)
14 Street at 24 Avenue NW,Traffic signals are flashing red. Crews have been dispatched.,2018/07/29 01:18:00 PM,2018/07/29 01:54:00 PM,NW,-114.0947333,51.07427692,1,2018072913185351.0742769248733-114.094733303451,POINT (-114.0947333 51.07427692),POINT (283212.83272761415 5662641.529857437)
Southbound Stoney Trail and Glenmore Trail SE,Single vehicle incident.,2019/02/11 10:29:00 AM,2019/02/11 12:23:00 PM,SE,-113.9292702,50.97964026,1,2019021110292750.9796402585989-113.9292702476,POINT (-113.9292702 50.97964026),POINT (294382.8481087444 5651646.019021323)
 162 Avenue and Bridlewood Boulevard SW ,Traffic incident.,2023/06/07 01:35:45 PM,2023/06/07 01:36:25 PM,SW,-114.10559343423598,50.90642515642462,1,2023-06-07T13:35:4550.90642515642462-114.10559343423598,POINT (-114.10559343423598 50.90642515642462),POINT (281665.54118363577 5644013.54292443)
 Bow Bottom Trail and Anderson Road SE ,Traffic incident.,2022/09/15 06:48:10 AM,2022/09/15 06:49:10 AM,NW,-114.02621041382096,50.95108240439866,1,2022-09-15T06:48:1050.95108240439866-114.02621041382095,POINT (-114.02621041382095 50.95108240439866),POINT (287449.14367287175 5648746.162262326)
Westbound Crowchild Trail west of Sarcee Trail NW,Stalled vehicle. Blocking the left lane.,2021/02/19 04:49:00 PM,,,-114.183398,51.1129998,1,2021-02-19T16:49:3951.11299980270906-114.18339802484662,POINT (-114.183398 51.1129998),POINT (277189.47906576656 5667211.263742814)
 Strathcona Boulevard and Strathcona Drive SW ,Traffic signals are flashing red.  Crew has been dispatched,2023/04/10 06:06:27 AM,2023/04/10 06:20:14 AM,SW,-114.18612874679744,51.04700344391471,1,2023-04-10T06:06:2751.04700344391471-114.18612874679744,POINT (-114.18612874679744 51.04700344391471),POINT (276680.6407586852 5659882.782439674)
Northbound Stoney Trail and Mcknight Boulevard NE,Two vehicle incident.,2019/05/29 06:10:00 PM,,,-113.9183062,51.09374752,1,2019052918105351.0937475204321-113.918306174087,POINT (-113.9183062 51.09374752),POINT (295655.1579984282 5664301.287670941)
 Eastbound Anderson Road and Macleod Trail S ,Two vehicle incident. Blocking the EB left lane and WB to SB turning lane closed,2023/01/27 12:53:20 PM,2023/01/27 01:16:20 PM,SE,-114.07537326876464,50.95055534402691,1,2023-01-27T12:53:2050.95055534402691-114.07537326876464,POINT (-114.07537326876464 50.95055534402691),POINT (283994.3430596726 5648830.464887445)
Erin Woods Drive at Erin Meadow Green SE,Multi-vehicle incident.,2017/04/19 12:56:00 AM,2017/04/19 12:58:00 AM,SE,-113.9637376,51.01905431,1,2017-04-18T23:56:3151.0190543060385-113.96373758614,POINT (-113.9637376 51.01905431),POINT (292140.18890455493 5656124.525872813)
Northbound Macleod Trail approaching Lake Fraser Drive SE,Traffic incident. Blocking multiple lanes,2021/06/18 07:05:00 PM,,,-114.0688124,50.93737006,1,2021-06-18T19:05:4350.937370055955064-114.06881244341623,POINT (-114.0688124 50.93737006),POINT (284394.04545379314 5647345.455157783)
 Eastbound Glenmore Trail at Stoney Trail SE ,Stalled vehicle. Blocking the left lane,2023/01/04 04:50:41 PM,2023/01/04 05:59:40 PM,SE,-113.92514229851844,50.97946490128772,1,2023-01-04T16:50:4150.97946490128772-113.92514229851845,POINT (-113.92514229851845 50.97946490128772),POINT (294671.7758765293 5651615.014768212)
Blackfoot Trail and Highfield Pl SE,Single vehicle incident.,2019/01/07 02:38:00 AM,2019/01/07 02:41:00 AM,SE,-114.0487606,51.01394446,1,2019010702381151.0139444647248-114.048760564145,POINT (-114.0487606 51.01394446),POINT (286154.7936693181 5655799.848330916)
 Mount Royal Gate and Forand Street SW ,Traffic incident.,2023/12/11 05:34:09 PM,2023/12/11 06:08:41 PM,SW,-114.12028347406144,51.00823662418036,1,2023-12-11T17:34:0951.00823662418036-114.12028347406144,POINT (-114.12028347406144 51.00823662418036),POINT (281112.19357884227 5655375.4009807175)
John Laurie Boulevard and Brisebois Drive NW,Two vehicle incident.,2020/01/15 05:56:00 PM,,,-114.1270858,51.10311539,1,2020-01-15T17:56:2651.1031153867915-114.12708583117461,POINT (-114.1270858 51.10311539),POINT (281083.28772580135 5665943.322282476)
Westbound 16 Avenue and 6 Street NE,Multi-vehicle incident. Blocking the right lane,2019/05/10 03:23:00 PM,,,-114.047518,51.06703335,1,2019051015233651.0670333478229-114.047517980695,POINT (-114.047518 51.06703335),POINT (286486.26837516436 5661698.222373027)
 Metis Trail and 104 Avenue NE ,Traffic incident. Blocking the EB to SB right turn lane,2023/07/25 05:37:40 PM,2023/07/25 06:37:13 PM,NE,-113.97038030487032,51.14698966829247,1,2023-07-25T17:37:4051.14698966829247-113.97038030487033,POINT (-113.97038030487033 51.14698966829247),POINT (292248.6226187826 5670366.36895927)
Eastbound 16 Avenue and Deerfoot Trail NE,Traffic incident. Blocking the right lane,2022/04/01 10:10:00 PM,2022/04/01 11:04:00 PM,NE,-114.0285513,51.06737987,1,2022-04-01T22:10:1151.06737986886695-114.02855129252096,POINT (-114.0285513 51.06737987),POINT (287816.4288169787 5661681.895644405)
Silver Springs Road and Silver Springs Boulevard NW,There is an incident involving a pedestrian.,2019/11/02 08:35:00 PM,,,-114.1998791,51.11018978,1,2019-11-02T20:35:4351.110189780797626-114.19987906068421,POINT (-114.1998791 51.11018978),POINT (276022.6029743491 5666948.933849699)
Southbound Blackfoot Trail and Southland Drive SE,Multi-vehicle incident. blocking the right lane on the exit ramp,2019/06/03 04:29:00 PM,,,-114.039159,50.96671683,1,2019-06-03T16:29:2050.9667168330526-114.039158972598,POINT (-114.039159 50.96671683),POINT (286611.5279713806 5650521.665276311)
 Southbound Crowchild Trail and 23 Avenue NW ,Two vehicle incident. Blocking the right lane,2022/06/30 06:48:26 AM,2022/06/30 06:49:30 AM,NW,-114.11803342434396,51.071010172217406,1,2022-06-30T06:48:2651.071010172217406-114.11803342434395,POINT (-114.11803342434395 51.071010172217406),POINT (281565.5982934593 5662347.26000717)
8 Street and 16 Avenue NW,Multi-vehicle incident.,2017/11/01 08:34:00 PM,2017/11/01 08:35:00 PM,NW,-114.0813732,51.06698807,1,2017-11-01T19:34:1751.0669880746447-114.081373205441,POINT (-114.0813732 51.06698807),POINT (284114.5887151491 5661791.9473762745)
Southbound 52 Street and 61 Avenue SE,Traffic incident. Blocking the left lane.,2021/02/02 08:05:00 AM,,,-113.9590558,50.99903906,1,2021-02-02T08:05:2450.99903906199427-113.95905579497824,POINT (-113.9590558 50.99903906),POINT (292379.0831226983 5653886.165879961)
Southbound Deerfoot Trail on the Calf Robe Bridge SE,Traffic incident.,2021/08/26 03:39:00 PM,,,-114.0088556,51.01143402,1,2021-08-26T15:39:1751.011434016646795-114.00885563414258,POINT (-114.0088556 51.01143402),POINT (288941.85560763197 5655405.6605975535)
Whitehorn Drive at 36 Street NE,Single vehicle incident. Police is directing traffic.,2018/08/21 07:48:00 PM,2018/08/21 07:53:00 PM,NE,-113.9819635,51.08496552,1,2018082119482851.0849655177715-113.981963502793,POINT (-113.9819635 51.08496552),POINT (291159.0288571522 5663503.682812098)
130 Avenue and 52 Street SE,Two vehicle incident.,2019/02/22 01:22:00 PM,2019/02/22 01:25:00 PM,NW,-113.9588005,50.93156776,1,2019022213224350.9315677629142-113.958800524601,POINT (-113.9588005 50.93156776),POINT (292095.84028377867 5646384.492499934)
 34 Street and 32 Avenue NE ,multiple road closures in the area due to ongoing incident,2023/09/26 10:43:23 AM,2023/09/26 11:06:49 AM,NE,-113.98550973317148,51.08143154061865,1,2023-09-26T10:43:2351.08143154061865-113.98550973317148,POINT (-113.98550973317148 51.08143154061865),POINT (290894.77379217785 5663120.868143443)
Stoney Trail and Metis Trail NE,Single vehicle incident.,2018/11/23 08:43:00 PM,2018/11/23 09:52:00 PM,NE,-113.9691162,51.17566844,1,2018112320433051.1756684432166-113.969116175318,POINT (-113.9691162 51.17566844),POINT (292465.82944442856 5673551.161462232)
 Southbound Falconridge Boulevard at Saddletowne Ci NE ,Traffic incident. Blocking the left lane,2022/10/14 06:33:59 PM,2022/10/14 06:36:10 PM,NE,-113.94685770564384,51.121401272788326,1,2022-10-14T18:33:5951.121401272788326-113.94685770564384,POINT (-113.94685770564384 51.121401272788326),POINT (293779.4830073193 5667455.370348953)
Stoney Trail and Mackenzie Lake Boulevard SE,Traffic incident.,2021/11/20 11:50:00 AM,2021/11/20 12:36:00 PM,SE,-113.9927682,50.89777697,1,2021-11-20T11:50:2150.897776968101766-113.99276819102845,POINT (-113.9927682 50.89777697),POINT (289557.0510249346 5642724.246499325)
Glenmore Trail and 18 Street SE,Traffic incident. Blocking the right lane on ramp onto 18 Street,2022/01/07 02:58:00 PM,2022/01/07 03:00:00 PM,SE,-114.0150301,50.97933275,1,2022-01-07T14:58:1750.979332753763714-114.01503008272245,POINT (-114.0150301 50.97933275),POINT (288362.75395497214 5651854.6161480965)
 Northbound Macleod Trail and 58 Avenue SW ,Single vehicle incident. Blocking the right lane,2022/09/07 04:54:10 PM,2022/09/07 05:07:39 PM,SW,-114.07141309904496,51.000576681346175,1,2022-09-07T16:54:1051.000576681346175-114.07141309904496,POINT (-114.07141309904496 51.000576681346175),POINT (284504.2480937147 5654379.754501808)
Northbound Deerfoot Trail and Anderson Road SE,Traffic incident. Blocking multiple lanes,2021/11/07 12:38:00 PM,2021/11/07 12:39:00 PM,SE,-114.0259428,50.95475636,1,2021-11-07T12:38:2150.95475635649467-114.02594276362942,POINT (-114.0259428 50.95475636),POINT (287484.7043927453 5649153.827798342)
Eastbound 16 Avenue and 19 Street NE,Two vehicle incident. Blocking multiple lanes,2020/05/01 01:11:00 AM,,,-114.0134054,51.06707091,1,2020-05-01T01:11:4751.06707091404864-114.0134054482513,POINT (-114.0134054 51.06707091),POINT (288875.95432050317 5661603.993283843)
Eastbound Memorial Drive approaching Deerfoot Trail SE,Two vehicle incident.,2019/05/26 04:30:00 PM,,,-114.0196554,51.04769855,1,2019052616301451.047698545944-114.019655393953,POINT (-114.0196554 51.04769855),POINT (288349.7908297869 5659468.265770745)
 Eastbound Bow Trail and Old Banff Coach Road SW ,Traffic incident.  Blocking the right lane,2022/07/29 07:21:42 PM,2022/07/29 07:48:22 PM,SW,-114.1817433709413,51.052101771525216,1,2022-07-29T19:21:4251.052101771525216-114.1817433709413,POINT (-114.1817433709413 51.052101771525216),POINT (277012.45283082087 5660436.263475101)
 Nose Hill Drive and Silver Springs Boulevard NW ,Multi-vehicle incident. Blocking the SB right lane,2022/08/07 06:27:02 PM,2022/08/07 07:27:44 PM,NW,-114.20695060315325,51.11616565839794,1,2022-08-07T18:27:0251.11616565839794-114.20695060315325,POINT (-114.20695060315325 51.11616565839794),POINT (275556.7121559561 5667634.824837468)
 130 Avenue and 50 Street SE ,Traffic signals are flashing red. Crew has been dispatched,2023/01/11 09:21:56 AM,2023/01/11 09:23:02 AM,SE,-113.9625464585768,50.93199047080902,1,2023-01-11T09:21:5650.93199047080902-113.96254645857681,POINT (-113.96254645857681 50.93199047080902),POINT (291834.5617543253 5646442.053510523)
 Bowness Road and Shaganappi Trail NW ,Traffic incident.,2023/09/18 08:49:34 AM,2023/09/18 09:51:12 AM,NW,-114.1494826648142,51.06361476682728,1,2023-09-18T08:49:3451.06361476682728-114.1494826648142,POINT (-114.1494826648142 51.06361476682728),POINT (279327.69020727946 5661618.929791815)
Northbound Deerfoot Trail at 16 Avenue Trail NE,Two vehicle incident.,2019/11/28 12:31:00 AM,,,-114.0267197,51.06677961,1,2019-11-28T00:31:1051.066779610196484-114.02671970235352,POINT (-114.0267197 51.06677961),POINT (287941.9828373362 5661609.884568089)
 31 Street and 17 Avenue SW ,Traffic incident.,2022/06/26 06:05:36 PM,2022/06/26 06:40:58 PM,SW,-114.1326665441432,51.037809727881545,1,2022-06-26T18:05:3651.037809727881545-114.1326665441432,POINT (-114.1326665441432 51.037809727881545),POINT (280383.5803551674 5658699.901213183)
 Centre Street and 56 Avenue N ,Traffic incident.,2022/07/11 05:53:30 PM,2022/07/11 06:30:07 PM,NE,-114.0624401865227,51.10264898432076,1,2022-07-11T17:53:3051.10264898432076-114.0624401865227,POINT (-114.0624401865227 51.10264898432076),POINT (285605.82931804925 5665701.0770585565)
Eastbound Memorial Drive N,Funeral Procession. Moving lane closures in the area.,2021/01/05 12:09:00 PM,,,-114.0257492,51.04722324,1,2021-01-05T12:09:3651.04722324401278-114.02574922820153,POINT (-114.0257492 51.04722324),POINT (287920.58216076344 5659432.9607676165)
 Fairmount Drive and Southland Drive SE ,Traffic incident.,2023/06/14 01:51:38 PM,2023/06/14 02:31:12 PM,SE,-114.0586756626028,50.963993813083526,1,2023-06-14T13:51:3850.963993813083526-114.05867566260281,POINT (-114.05867566260281 50.963993813083526),POINT (285228.90790080547 5650275.631729404)
 Eastbound Glenmore Trail after Macleod Trail SW ,Two vehicle incident.   Blocking the left lane,2022/12/18 02:45:59 PM,2022/12/18 03:46:38 PM,SW,-114.06903118960604,50.99418501118844,1,2022-12-18T14:45:5950.99418501118844-114.06903118960604,POINT (-114.06903118960604 50.99418501118844),POINT (284641.72736414487 5653662.223744844)
 Northbound Shaganappi Trail at Stoney Trail NW ,Traffic incident.   Blocking the right lane,2024/02/25 06:43:41 PM,2024/02/25 07:14:34 PM,NW,-114.1409612282258,51.15390740620333,1,2024-02-25T18:43:4151.15390740620333-114.14096122822579,POINT (-114.14096122822579 51.15390740620333),POINT (280353.36282256816 5671631.296444276)
Barlow Trail and Centre Avenue E,Multi-vehicle incident.,2019/12/17 05:00:00 PM,,,-114.0017729,51.05236477,1,2019-12-17T17:00:0151.05236477359609-114.00177288727299,POINT (-114.0017729 51.05236477),POINT (289624.1052824027 5659935.765932196)
Northbound 14 Street at 10 Avenue SW,Two vehicle incident. Blocking the left lane,2020/01/31 11:06:00 PM,,,-114.0947614,51.04420982,1,2020-01-31T23:06:5651.04420981709178-114.09476137911686,POINT (-114.0947614 51.04420982),POINT (283070.2997716436 5659299.026043001)
5 Avenue and Memorial Drive NE,Multi-vehicle incident.  Blocking the right lane on the EB exit,2019/10/17 09:26:00 PM,,,-114.0499139,51.0503158,1,2019-10-17T21:26:5651.050315799739415-114.04991391779238,POINT (-114.0499139 51.0503158),POINT (286241.420727746 5659846.654139295)
43 Avenue at 68 Street NE,Two vehicle incident.,2017/11/21 05:38:00 PM,2017/11/21 05:41:00 PM,NE,-113.9355795,51.09167999,1,2017-11-21T17:38:2851.0916799943352-113.935579502796,POINT (-113.9355795 51.09167999),POINT (294436.7018840823 5664119.544962441)
 48 Street and Montalban Avenue NW ,Traffic incident.,2023/10/04 03:31:46 PM,2023/10/04 03:32:30 PM,NW,-114.15977009318368,51.08032766114536,1,2023-10-04T15:31:4651.08032766114536-114.15977009318368,POINT (-114.15977009318368 51.08032766114536),POINT (278686.8337843105 5663507.790451279)
86 Avenue and Bonaventure Drive SE,Traffic incident.,2022/03/29 03:31:00 PM,2022/03/29 04:04:00 PM,SE,-114.0685565,50.97590969,1,2022-03-29T15:31:2150.9759096921432-114.06855654248943,POINT (-114.0685565 50.97590969),POINT (284590.4063984293 5651629.160412251)
54 Street and 64 Avenue NE,There is an incident involving a pedestrian.,2020/10/07 09:34:00 PM,,,-113.9558721,51.11056363,1,2020-10-07T21:34:1251.1105636256569-113.95587208767851,POINT (-113.9558721 51.11056363),POINT (293100.3470922329 5666275.812679234)
Shaganappi Trail and 16 Avenue NW,Single vehicle incident.,2020/05/06 05:16:00 PM,,,-114.1479416,51.06612495,1,2020-05-06T17:16:2751.06612494578759-114.14794161600692,POINT (-114.1479416 51.06612495),POINT (279447.5820535163 5661893.366998719)
 Northbound 52 Street at 16 Avenue NE ,Multi-vehicle incident. Blocking the right lanes,2022/12/02 03:02:35 PM,2022/12/02 04:19:33 PM,NE,-113.9582959771285,51.06660154385821,1,2022-12-02T15:02:3551.06660154385821-113.9582959771285,POINT (-113.9582959771285 51.06660154385821),POINT (292734.1844256751 5661395.18086418)
Northbound Barlow Trail approaching Peigan Trail SE,Two vehicle incident.,2017/05/23 05:24:00 PM,2017/05/23 05:26:00 PM,SE,-114.0034269,51.01495911,1,2017-05-23T16:24:5651.0149591059977-114.003426914089,POINT (-114.0034269 51.01495911),POINT (289338.565126564 5655782.011971639)
Southbound Deerfoot Trail approaching Glenmore Trail SE,Two vehicle incident. Blocking the right lane,2021/09/28 05:39:00 PM,,,-114.0334094,50.99854046,1,2021-09-28T17:39:5850.99854045768768-114.03340938133279,POINT (-114.0334094 50.99854046),POINT (287160.81108530186 5654042.905693615)
Queensland Drive and Canyon Meadows Drive SE,Single vehicle incident.,2021/05/24 10:15:00 PM,,,-114.0271029,50.93223067,1,2021-05-24T22:15:4750.932230665300914-114.02710289582691,POINT (-114.0271029 50.93223067),POINT (287300.411488516 5646652.974317091)
68 Street and 22 Avenue NE,Two vehicle incident.,2019/10/08 10:23:00 AM,,,-113.9355557,51.07262124,1,2019-10-08T10:23:4351.07262123759827-113.93555573935917,POINT (-113.9355557 51.07262124),POINT (294353.8294980628 5662000.628703259)
8 Avenue and Madigan Drive NE,Traffic incident.,2020/08/26 08:54:00 PM,,,-113.9404907,51.05964228,1,2020-08-26T20:54:5851.05964227620268-113.94049069090069,POINT (-113.9404907 51.05964228),POINT (293950.5244736677 5660571.502369912)
10 Street and 12 Avenue SW,Traffic incident.,2021/11/17 04:11:00 AM,2021/11/17 04:12:00 AM,SW,-114.086442,51.0420777,1,2021-11-17T04:11:3951.042077697407585-114.08644198837833,POINT (-114.086442 51.0420777),POINT (283643.3976959987 5659037.516341357)
 Northbound Crowchild Trail and Memorial Drive NW ,"Traffic incident. Blocking multiple lanes, delays in the area",2023/10/26 06:11:29 AM,2023/10/26 07:13:12 AM,NW,-114.11644242305594,51.04949713735671,1,2023-10-26T06:11:2951.04949713735671-114.11644242305594,POINT (-114.11644242305594 51.04949713735671),POINT (281575.7517253489 5659950.925552371)
Eastbound Glenmore Trail at Macleod Trail SW,Single vehicle incident.  Blocking the right lane of the ramp.,2020/05/24 05:45:00 PM,,,-114.0721592,50.99402562,1,2020-05-24T17:45:3350.99402561963956-114.07215917339184,POINT (-114.0721592 50.99402562),POINT (284421.53505741106 5653653.652148342)
Southbound Deerfoot Trail and 11 Street SE,Single vehicle incident.,2018/05/09 01:46:00 PM,2018/05/09 01:47:00 PM,SE,-114.040753,50.97871602,1,2018-05-09T12:46:0750.9787160231922-114.040753023657,POINT (-114.040753 50.97871602),POINT (286554.67870362406 5651860.241990164)
 128 Avenue and Redstone Street NE ,Traffic incident.,2022/09/03 10:24:03 PM,2022/09/03 10:49:21 PM,NE,-113.9620939194853,51.165432777097,1,2022-09-03T22:24:0351.165432777097-113.9620939194853,POINT (-113.9620939194853 51.165432777097),POINT (292910.7059137615 5672393.401456143)
50 Street and 130 Avenue SE,Single vehicle incident.,2017/12/07 05:02:00 PM,2017/12/07 05:07:00 PM,SE,-113.9625465,50.93199047,1,2017-12-07T17:02:5250.931990471284-113.962546458577,POINT (-113.9625465 50.93199047),POINT (291834.5588406145 5646442.053537513)
Northbound Metis Trail approaching 64 Avenue NE,Traffic incident.,2021/07/08 04:45:00 PM,,,-113.9755585,51.11021287,1,2021-07-08T16:45:5751.11021286865738-113.97555846305652,POINT (-113.9755585 51.11021287),POINT (291721.05841532536 5666292.373627824)
 John Laurie Blvd approaching Charleswood Drive NE ,Traffic incident.,2023/11/08 11:54:42 AM,2023/11/08 12:42:23 PM,NW,-114.124477253641,51.1014058445564,1,2023-11-08T11:54:4251.1014058445564-114.124477253641,POINT (-114.124477253641 51.1014058445564),POINT (281257.79099183227 5665745.510929551)
Southbound Deerfoot Trail approaching Glenmore Trail SE,Stalled vehicle. Blocking the right lane.,2020/02/06 04:42:00 PM,,,-114.0391731,50.99415668,1,2020-02-06T16:42:3950.994156675246714-114.039173086226,POINT (-114.0391731 50.99415668),POINT (286736.37201811315 5653572.222489538)
Glenmore Trail and Deerfoot Trail SE,Stalled vehicle. Blocking the SB to EB exit lane,2019/12/09 03:17:00 PM,,,-114.0359641,50.99322762,1,2019-12-09T15:17:3650.99322762112547-114.03596408186141,POINT (-114.0359641 50.99322762),POINT (286957.25211269676 5653459.6539092325)
Southbound Stoney Trail approaching 114 Avenue SE,Traffic incident.,2021/12/29 11:52:00 AM,2021/12/29 12:13:00 PM,SE,-113.9209879,50.96123309,1,2021-12-29T11:52:4150.96123308711996-113.92098791645246,POINT (-113.9209879 50.96123309),POINT (294882.9977612822 5649576.556461677)
